PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
32CasamentoAproximado;0.7;18;19;95%;23;86;27%
32CasamentoAproximado;0.7;18;19;95%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.8;18;19;95%;22;86;26%
32CasamentoAproximado;0.8;18;19;95%;27;86;31%
32CasamentoAproximado;0.9;18;19;95%;24;86;28%
32CasamentoAproximado;0.9;18;19;95%;29;86;34%
32CasamentoAproximado;1.0;18;19;95%;23;86;27%
32CasamentoAproximado;0.6;18;19;95%;24;86;28%
32CasamentoAproximado;0.6;18;19;95%;22;86;26%
32CasamentoAproximado;0.6;18;19;95%;27;86;31%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;18;19;95%;22;86;26%
32CasamentoAproximado;0.5;18;19;95%;29;86;34%
32CasamentoAproximado;0.4;18;19;95%;24;86;28%
32CasamentoAproximado;0.4;18;19;95%;22;86;26%
32CasamentoAproximado;0.4;18;19;95%;24;86;28%
32CasamentoAproximado;0.3;18;19;95%;22;86;26%
32CasamentoAproximado;0.3;18;19;95%;24;86;28%
32CasamentoAproximado;0.3;18;19;95%;24;86;28%
32CasamentoAproximado;0.2;18;19;95%;29;86;34%
32CasamentoAproximado;0.2;18;19;95%;22;86;26%
32CasamentoAproximado;0.2;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.1;18;19;95%;22;86;26%
32CasamentoAproximado;0.1;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;18;19;95%;24;86;28%
32CasamentoAproximado;0.0;0;19;0%;0;86;0%
