PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.7;15;16;94%;54;56;96%
09Ordenacao;0.8;15;16;94%;54;56;96%
09Ordenacao;0.8;15;16;94%;52;56;93%
09Ordenacao;0.8;15;16;94%;54;56;96%
09Ordenacao;0.9;2;16;13%;2;56;4%
09Ordenacao;0.9;15;16;94%;54;56;96%
09Ordenacao;0.9;15;16;94%;54;56;96%
09Ordenacao;1.0;15;16;94%;53;56;95%
09Ordenacao;1.0;15;16;94%;54;56;96%
09Ordenacao;1.0;15;16;94%;51;56;91%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.6;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.5;15;16;94%;54;56;96%
09Ordenacao;0.4;15;16;94%;54;56;96%
09Ordenacao;0.4;15;16;94%;52;56;93%
09Ordenacao;0.4;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;54;56;96%
09Ordenacao;0.3;15;16;94%;51;56;91%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.2;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.1;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
09Ordenacao;0.0;15;16;94%;54;56;96%
09Ordenacao;0.0;0;16;0%;0;56;0%
