PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
14Pilha;0.7;17;17;100%;24;31;77%
14Pilha;0.7;17;17;100%;23;31;74%
14Pilha;0.8;17;17;100%;24;31;77%
14Pilha;0.8;17;17;100%;26;31;84%
14Pilha;0.8;17;17;100%;26;31;84%
14Pilha;0.9;17;17;100%;28;31;90%
14Pilha;0.9;16;17;94%;24;31;77%
14Pilha;1.0;0;17;0%;0;31;0%
14Pilha;1.0;17;17;100%;26;31;84%
14Pilha;0.6;17;17;100%;24;31;77%
14Pilha;0.6;17;17;100%;23;31;74%
14Pilha;0.5;17;17;100%;24;31;77%
14Pilha;0.5;17;17;100%;24;31;77%
14Pilha;0.4;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.3;17;17;100%;23;31;74%
14Pilha;0.2;17;17;100%;23;31;74%
14Pilha;0.2;17;17;100%;24;31;77%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.1;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
14Pilha;0.0;17;17;100%;23;31;74%
14Pilha;0.0;0;17;0%;0;31;0%
